,tradeDate,B&H,action,operation,return
0,2021-11-23,10000.0,0,0,10000.0
1,2021-11-24,9993.865000000002,0,0,10000.0
2,2021-11-25,9965.643999999998,2,0,10000.0
3,2021-11-26,9975.46,1,1,10000.0
4,2021-11-29,9995.092,2,2,10019.679999999998
5,2021-11-30,10046.626,1,1,10019.679999999998
6,2021-12-01,9986.503,2,0,9959.704
7,2021-12-02,10079.755,1,0,10052.727999999996
8,2021-12-03,10000.0,2,0,9973.167999999998
9,2021-12-06,9938.65,1,0,9911.968
10,2021-12-07,10084.663,2,2,10057.624
11,2021-12-08,10094.479,0,0,10057.624
12,2021-12-09,10090.798,1,1,10057.624
13,2021-12-10,10112.883999999998,2,2,10079.638
14,2021-12-13,10088.344,1,1,10079.638
15,2021-12-14,10076.074,2,0,10067.378
16,2021-12-15,10168.098999999998,0,0,10159.328
17,2021-12-16,10096.933,2,2,10088.22
18,2021-12-17,9938.65,1,1,10088.22
19,2021-12-20,10013.497,2,2,10164.165
20,2021-12-21,10055.215,0,0,10164.165
21,2021-12-22,10111.657,2,0,10164.165
22,2021-12-23,10052.761,0,0,10164.165
23,2021-12-24,10030.675,1,1,10164.165
24,2021-12-27,10038.036999999998,2,2,10171.622999999998
25,2021-12-28,10012.27,1,1,10171.622999999998
26,2021-12-29,10084.663,2,2,10245.137
27,2021-12-30,10136.196999999998,0,0,10245.137
28,2021-12-31,10144.786,2,0,10245.137
29,2022-01-04,9946.012,0,0,10245.137
30,2022-01-05,9958.282,1,1,10245.137
31,2022-01-06,9907.975,0,0,10193.395000000002
32,2022-01-07,9909.202,1,0,10194.657
33,2022-01-10,9851.533,2,0,10135.343
34,2022-01-11,9919.017999999998,1,0,10204.753
35,2022-01-12,9808.588,2,0,10091.173
36,2022-01-13,9761.961999999998,0,0,10043.217
37,2022-01-14,9858.895,2,0,10142.915
38,2022-01-17,9876.073,0,0,10160.583
39,2022-01-18,9819.631,1,0,10102.531
40,2022-01-19,9742.33,0,0,10023.025
41,2022-01-20,9639.262,1,0,9917.017
42,2022-01-21,9626.992,2,0,9904.397
43,2022-01-24,9311.653,0,0,9580.063000000002
44,2022-01-25,9346.009,2,0,9615.399
45,2022-01-26,9122.695,0,0,9385.715000000002
46,2022-01-27,9060.118,1,0,9321.353
47,2022-01-28,9190.18,0,0,9455.125000000002
48,2022-02-07,9299.383,1,0,9567.443
49,2022-02-08,9426.990999999998,0,0,9698.691
50,2022-02-09,9425.763999999996,1,0,9697.428999999998
51,2022-02-10,9312.88,0,0,9581.325000000004
52,2022-02-11,9233.125,2,0,9499.295000000002
53,2022-02-14,9314.106999999998,0,0,9582.587
54,2022-02-15,9333.739,2,0,9602.779
55,2022-02-16,9336.193,1,0,9605.303
56,2022-02-17,9419.628999999995,2,0,9691.119
57,2022-02-18,9461.346999999998,1,0,9734.026999999998
58,2022-02-21,9355.825,2,0,9625.495000000004
59,2022-02-22,9494.476,0,0,9768.101
60,2022-02-23,9331.285,2,0,9600.255
61,2022-02-24,9397.543,0,0,9668.403000000002
62,2022-02-25,9445.396,2,0,9717.621
63,2022-02-28,9469.936,0,0,9742.861
64,2022-03-01,9473.617,2,0,9746.647
65,2022-03-02,9462.574,0,0,9735.289
66,2022-03-03,9397.543,1,0,9668.403000000002
67,2022-03-04,9182.818,2,0,9447.553
