,tradeDate,B&H,action,operation,return
0,2021-11-23,10000.0,0,0,10000.0
1,2021-11-24,9993.865000000002,2,0,10000.0
2,2021-11-25,9965.643999999998,2,0,10000.0
3,2021-11-26,9975.46,2,0,10000.0
4,2021-11-29,9995.092,8,0,10000.0
5,2021-11-30,10046.626,2,0,10000.0
6,2021-12-01,9986.503,8,0,10000.0
7,2021-12-02,10079.755,2,0,10000.0
8,2021-12-03,10000.0,1,1,10000.0
9,2021-12-06,9938.65,2,0,9938.65
10,2021-12-07,10084.663,8,0,10084.663
11,2021-12-08,10094.479,2,2,10094.479
12,2021-12-09,10090.798,11,0,10094.479
13,2021-12-10,10112.883999999998,2,0,10094.479
14,2021-12-13,10088.344,10,0,10094.479
15,2021-12-14,10076.074,8,0,10094.479
16,2021-12-15,10168.098999999998,2,0,10094.479
17,2021-12-16,10096.933,2,0,10094.479
18,2021-12-17,9938.65,8,0,10094.479
19,2021-12-20,10013.497,8,0,10094.479
20,2021-12-21,10055.215,2,0,10094.479
21,2021-12-22,10111.657,2,0,10094.479
22,2021-12-23,10052.761,10,0,10094.479
23,2021-12-24,10030.675,10,0,10094.479
24,2021-12-27,10038.036999999998,11,0,10094.479
25,2021-12-28,10012.27,2,0,10094.479
26,2021-12-29,10084.663,2,0,10094.479
27,2021-12-30,10136.196999999998,1,1,10094.479
28,2021-12-31,10144.786,2,2,10103.033
29,2022-01-04,9946.012,2,0,10103.033
30,2022-01-05,9958.282,2,0,10103.033
31,2022-01-06,9907.975,2,0,10103.033
32,2022-01-07,9909.202,2,0,10103.033
33,2022-01-10,9851.533,8,0,10103.033
34,2022-01-11,9919.017999999998,2,0,10103.033
35,2022-01-12,9808.588,2,0,10103.033
36,2022-01-13,9761.961999999998,2,0,10103.033
37,2022-01-14,9858.895,8,0,10103.033
38,2022-01-17,9876.073,11,0,10103.033
39,2022-01-18,9819.631,11,0,10103.033
40,2022-01-19,9742.33,3,0,10103.033
41,2022-01-20,9639.262,2,0,10103.033
42,2022-01-21,9626.992,2,0,10103.033
43,2022-01-24,9311.653,2,0,10103.033
44,2022-01-25,9346.009,2,0,10103.033
45,2022-01-26,9122.695,2,0,10103.033
46,2022-01-27,9060.118,2,0,10103.033
47,2022-01-28,9190.18,8,0,10103.033
48,2022-02-07,9299.383,2,0,10103.033
49,2022-02-08,9426.990999999998,2,0,10103.033
50,2022-02-09,9425.763999999996,2,0,10103.033
51,2022-02-10,9312.88,2,0,10103.033
52,2022-02-11,9233.125,11,0,10103.033
53,2022-02-14,9314.106999999998,2,0,10103.033
54,2022-02-15,9333.739,8,0,10103.033
55,2022-02-16,9336.193,2,0,10103.033
56,2022-02-17,9419.628999999995,2,0,10103.033
57,2022-02-18,9461.346999999998,2,0,10103.033
58,2022-02-21,9355.825,2,0,10103.033
