,tradeDate,B&H,action,operation,return
0,2021-11-23,10000.0,2,0,10000.0
1,2021-11-24,9859.419999999998,0,0,10000.0
2,2021-11-25,9656.36,2,0,10000.0
3,2021-11-26,9562.64,2,0,10000.0
4,2021-11-29,9593.88,1,1,10000.0
5,2021-11-30,9609.5,2,2,10016.28
6,2021-12-01,9515.78,2,0,10016.28
7,2021-12-02,9547.02,0,0,10016.28
8,2021-12-03,9531.399999999998,1,1,10016.28
9,2021-12-06,9531.399999999998,1,0,10016.28
10,2021-12-07,9625.12,0,0,10114.8
11,2021-12-08,10124.96,2,2,10640.240000000002
12,2021-12-09,10156.2,1,1,10640.240000000002
13,2021-12-10,10203.06,2,2,10689.320000000003
14,2021-12-13,10015.62,2,0,10689.320000000003
15,2021-12-14,10015.62,1,1,10689.320000000003
16,2021-12-15,10015.62,2,0,10689.320000000003
17,2021-12-16,9859.419999999998,2,0,10522.62
18,2021-12-17,9703.22,0,0,10355.920000000002
19,2021-12-20,9750.08,0,0,10405.930000000002
20,2021-12-21,9765.7,1,0,10422.600000000002
21,2021-12-22,9734.46,2,0,10389.260000000002
22,2021-12-23,9609.5,0,0,10255.900000000003
23,2021-12-24,9656.36,1,0,10305.910000000002
24,2021-12-27,9687.6,0,0,10339.250000000002
25,2021-12-28,9578.259999999998,2,0,10222.56
26,2021-12-29,9687.6,1,0,10339.250000000002
27,2021-12-30,9640.739999999998,0,0,10289.240000000002
28,2021-12-31,9750.08,1,0,10405.930000000002
29,2022-01-04,9890.66,1,0,10555.960000000005
30,2022-01-05,9812.56,2,0,10472.610000000002
31,2022-01-06,9921.899999999998,0,0,10589.3
32,2022-01-07,10031.239999999998,2,2,10705.990000000002
33,2022-01-10,9828.179999999998,0,0,10705.990000000002
34,2022-01-11,9875.04,2,0,10705.990000000002
35,2022-01-12,9781.319999999998,0,0,10705.990000000002
36,2022-01-13,9625.12,0,0,10705.990000000002
37,2022-01-14,9656.36,2,0,10705.990000000002
38,2022-01-17,9671.98,2,0,10705.990000000002
39,2022-01-18,9578.259999999998,0,0,10705.990000000002
40,2022-01-19,9547.02,2,0,10705.990000000002
41,2022-01-20,9500.16,1,1,10705.990000000002
42,2022-01-21,9375.2,2,0,10565.190000000002
43,2022-01-24,9000.319999999998,1,0,10142.790000000005
44,2022-01-25,9047.179999999998,1,0,10195.590000000002
45,2022-01-26,8703.539999999999,0,0,9808.390000000005
46,2022-01-27,8766.019999999999,1,0,9878.790000000005
47,2022-01-28,8984.699999999999,1,0,10125.190000000002
48,2022-02-07,9140.899999999998,0,0,10301.190000000002
49,2022-02-08,9234.62,1,0,10406.790000000005
50,2022-02-09,9250.239999999998,1,0,10424.390000000005
51,2022-02-10,9125.28,0,0,10283.590000000002
52,2022-02-11,9000.319999999998,1,0,10142.790000000005
53,2022-02-14,8969.08,1,0,10107.590000000002
54,2022-02-15,9047.179999999998,0,0,10195.590000000002
55,2022-02-16,8890.98,1,0,10019.590000000004
56,2022-02-17,8953.46,2,0,10089.990000000003
57,2022-02-18,9094.04,0,0,10248.390000000005
58,2022-02-21,8922.22,1,0,10054.790000000005
59,2022-02-22,9078.419999999998,1,0,10230.79
60,2022-02-23,8781.64,2,0,9896.390000000005
61,2022-02-24,8812.88,0,0,9931.590000000002
62,2022-02-25,8687.919999999998,1,0,9790.79
63,2022-02-28,8703.539999999999,0,0,9808.390000000005
64,2022-03-01,8656.679999999998,0,0,9755.590000000002
65,2022-03-02,8641.06,1,0,9737.990000000003
66,2022-03-03,8422.38,0,0,9491.590000000002
67,2022-03-04,8109.98,2,0,9139.590000000004
68,2022-03-07,7875.679999999999,1,1,8875.590000000002
69,2022-03-08,7797.579999999999,0,0,8787.540000000003
70,2022-03-09,7969.399999999999,2,0,8981.25
71,2022-03-10,7985.019999999999,0,0,8998.860000000002
72,2022-03-11,7844.439999999999,0,0,8840.37
73,2022-03-14,7344.599999999999,0,0,8276.850000000002
74,2022-03-15,7578.899999999999,1,0,8541.0
75,2022-03-16,7594.519999999999,2,0,8558.610000000002
76,2022-03-17,7625.759999999998,0,0,8593.830000000002
77,2022-03-18,7797.579999999999,2,0,8787.540000000003
78,2022-03-21,7781.959999999999,2,0,8769.930000000002
79,2022-03-22,7797.579999999999,1,0,8787.540000000003
80,2022-03-23,7703.859999999999,2,0,8681.880000000001
81,2022-03-24,7610.139999999999,0,0,8576.220000000001
82,2022-03-25,7735.099999999999,0,0,8717.100000000002
83,2022-03-28,7610.139999999999,1,0,8576.220000000001
84,2022-03-29,7750.719999999998,2,0,8734.710000000001
85,2022-03-30,7672.619999999999,0,0,8646.660000000002
86,2022-03-31,7641.379999999998,1,0,8611.44
87,2022-04-01,7703.859999999999,1,0,8681.880000000001
88,2022-04-06,7516.419999999998,2,0,8470.560000000001
89,2022-04-07,7625.759999999998,1,0,8593.830000000002
90,2022-04-08,7422.699999999999,0,0,8364.900000000001
91,2022-04-11,7563.279999999999,2,0,8523.390000000001
92,2022-04-12,7453.939999999999,1,0,8400.12
93,2022-04-13,7500.799999999998,0,0,8452.95
94,2022-04-14,7438.319999999999,0,0,8382.51
95,2022-04-15,7438.319999999999,1,0,8382.51
96,2022-04-18,7360.219999999998,2,0,8294.460000000001
97,2022-04-19,7313.359999999999,0,0,8241.630000000001
98,2022-04-20,6969.719999999998,2,0,7854.210000000003
99,2022-04-21,6985.339999999998,0,0,7871.820000000002
100,2022-04-22,6485.499999999999,1,0,7308.300000000002
101,2022-04-25,6501.119999999999,2,0,7325.910000000003
102,2022-04-26,6610.459999999999,2,0,7449.180000000002
103,2022-04-27,6376.159999999999,0,0,7185.0300000000025
104,2022-04-28,6532.359999999999,0,0,7361.130000000003
105,2022-04-29,6547.98,2,0,7378.740000000002
106,2022-05-05,6423.02,0,0,7237.860000000002
107,2022-05-06,6360.539999999999,2,0,7167.420000000003
108,2022-05-09,6329.299999999998,2,0,7132.200000000003
109,2022-05-10,6735.419999999998,0,0,7590.060000000001
110,2022-05-11,6641.699999999999,1,0,7484.400000000002
111,2022-05-12,6641.699999999999,0,0,7484.400000000002
112,2022-05-13,6579.219999999998,2,0,7413.960000000003
113,2022-05-16,6626.079999999999,1,0,7466.790000000003
114,2022-05-17,6579.219999999998,1,0,7413.960000000003
115,2022-05-18,6704.179999999999,2,0,7554.840000000003
116,2022-05-19,6969.719999999998,0,0,7854.210000000003
117,2022-05-20,6985.339999999998,1,0,7871.820000000002
118,2022-05-23,6782.279999999999,2,0,7642.890000000002
119,2022-05-24,6797.899999999999,0,0,7660.500000000003
120,2022-05-25,6875.999999999999,1,0,7748.550000000002
121,2022-05-26,6891.619999999999,0,0,7766.160000000003
122,2022-05-27,6954.099999999999,2,0,7836.600000000002
123,2022-05-30,7094.679999999999,2,0,7995.090000000003
124,2022-05-31,6985.339999999998,0,0,7871.820000000002
125,2022-06-01,6782.279999999999,2,0,7642.890000000002
126,2022-06-02,6860.379999999998,0,0,7730.940000000001
127,2022-06-06,6797.899999999999,0,0,7660.500000000003
128,2022-06-07,6766.659999999999,0,0,7625.280000000002
129,2022-06-08,6610.459999999999,2,0,7449.180000000002
130,2022-06-09,6704.179999999999,2,0,7554.840000000003
131,2022-06-10,6610.459999999999,0,0,7449.180000000002
132,2022-06-13,6672.939999999999,2,0,7519.620000000003
133,2022-06-14,7313.359999999999,0,0,8241.630000000001
134,2022-06-15,7032.199999999999,0,0,7924.650000000002
135,2022-06-16,6985.339999999998,1,0,7871.820000000002
136,2022-06-17,6985.339999999998,2,0,7871.820000000002
137,2022-06-20,6985.339999999998,2,0,7871.820000000002
138,2022-06-21,6829.139999999999,0,0,7695.720000000002
139,2022-06-22,6922.859999999999,2,0,7801.380000000003
140,2022-06-23,7000.959999999999,0,0,7889.430000000002
141,2022-06-24,7094.679999999999,1,0,7995.090000000003
142,2022-06-27,7485.179999999999,1,0,8435.340000000002
143,2022-06-28,7282.119999999999,0,0,8206.410000000002
