,tradeDate,B&H,action,operation,return
0,2021-11-23,10000.0,2,0,10000.0
1,2021-11-24,9859.419999999998,2,0,10000.0
2,2021-11-25,9656.36,0,0,10000.0
3,2021-11-26,9562.64,0,0,10000.0
4,2021-11-29,9593.88,2,0,10000.0
5,2021-11-30,9609.5,2,0,10000.0
6,2021-12-01,9515.78,1,1,10000.0
7,2021-12-02,9547.02,0,0,10026.26
8,2021-12-03,9531.399999999998,0,0,10013.13
9,2021-12-06,9531.399999999998,1,1,10013.13
10,2021-12-07,9625.12,0,0,10107.63
11,2021-12-08,10124.96,0,0,10611.63
12,2021-12-09,10156.2,0,0,10643.13
13,2021-12-10,10203.06,2,2,10690.38
14,2021-12-13,10015.62,2,0,10690.38
15,2021-12-14,10015.62,0,0,10690.38
16,2021-12-15,10015.62,2,0,10690.38
17,2021-12-16,9859.419999999998,2,0,10690.38
18,2021-12-17,9703.22,2,0,10690.38
19,2021-12-20,9750.08,0,0,10690.38
20,2021-12-21,9765.7,2,0,10690.38
21,2021-12-22,9734.46,0,0,10690.38
22,2021-12-23,9609.5,0,0,10690.38
23,2021-12-24,9656.36,0,0,10690.38
24,2021-12-27,9687.6,0,0,10690.38
25,2021-12-28,9578.259999999998,2,0,10690.38
26,2021-12-29,9687.6,0,0,10690.38
27,2021-12-30,9640.739999999998,1,1,10690.38
28,2021-12-31,9750.08,2,2,10787.4
29,2022-01-04,9890.66,2,0,10787.4
30,2022-01-05,9812.56,2,0,10787.4
31,2022-01-06,9921.899999999998,2,0,10787.4
32,2022-01-07,10031.239999999998,0,0,10787.4
33,2022-01-10,9828.179999999998,2,0,10787.4
34,2022-01-11,9875.04,0,0,10787.4
35,2022-01-12,9781.319999999998,0,0,10787.4
36,2022-01-13,9625.12,0,0,10787.4
37,2022-01-14,9656.36,2,0,10787.4
38,2022-01-17,9671.98,2,0,10787.4
39,2022-01-18,9578.259999999998,0,0,10787.4
40,2022-01-19,9547.02,0,0,10787.4
41,2022-01-20,9500.16,0,0,10787.4
42,2022-01-21,9375.2,0,0,10787.4
43,2022-01-24,9000.319999999998,0,0,10787.4
44,2022-01-25,9047.179999999998,0,0,10787.4
45,2022-01-26,8703.539999999999,2,0,10787.4
46,2022-01-27,8766.019999999999,2,0,10787.4
47,2022-01-28,8984.699999999999,1,1,10787.4
48,2022-02-07,9140.899999999998,1,1,10937.4
49,2022-02-08,9234.62,2,2,11045.1
50,2022-02-09,9250.239999999998,0,0,11045.1
