,tradeDate,B&H,action,operation,return
0,2021-11-23,10000.0,,0,10000.0
1,2021-11-24,9685.36,0.0,0,10000.0
2,2021-11-25,9685.36,0.0,0,10000.0
3,2021-11-26,9431.9,0.0,0,10000.0
4,2021-11-29,9361.98,0.0,0,10000.0
5,2021-11-30,9510.56,1.0,1,10000.0
6,2021-12-01,9309.54,0.0,0,9788.63
7,2021-12-02,9519.3,0.0,0,10009.190000000002
8,2021-12-03,9388.2,0.0,0,9871.340000000002
9,2021-12-06,10323.38,0.0,0,10854.670000000002
10,2021-12-07,10323.38,0.0,0,10854.670000000002
11,2021-12-08,9729.06,2.0,2,10229.75
12,2021-12-09,9641.66,0.0,0,10229.75
13,2021-12-10,9851.42,0.0,0,10229.75
14,2021-12-13,9729.06,0.0,0,10229.75
15,2021-12-14,9755.28,0.0,0,10229.75
16,2021-12-15,10279.68,0.0,0,10229.75
17,2021-12-16,9956.3,0.0,0,10229.75
18,2021-12-17,9431.9,0.0,0,10229.75
19,2021-12-20,9536.78,0.0,0,10229.75
20,2021-12-21,9484.34,0.0,0,10229.75
21,2021-12-22,10428.26,1.0,1,10229.75
22,2021-12-23,11092.5,0.0,0,10881.83
23,2021-12-24,10952.66,2.0,2,10744.55
24,2021-12-27,10760.38,0.0,0,10744.55
25,2021-12-28,10498.18,0.0,0,10744.55
26,2021-12-29,10445.74,0.0,0,10744.55
27,2021-12-30,10367.08,0.0,0,10744.55
28,2021-12-31,10305.9,0.0,0,10744.55
29,2022-01-04,10026.22,0.0,0,10744.55
30,2022-01-05,10096.14,0.0,0,10744.55
31,2022-01-06,10410.78,1.0,1,10744.55
32,2022-01-07,10734.16,0.0,0,11078.289999999995
33,2022-01-10,10672.98,0.0,0,11015.149999999998
34,2022-01-11,10611.8,0.0,0,10952.009999999998
35,2022-01-12,10332.12,0.0,0,10663.37
36,2022-01-13,10026.22,0.0,0,10347.669999999998
37,2022-01-14,10270.94,0.0,0,10600.229999999998
38,2022-01-17,10297.16,0.0,0,10627.289999999995
39,2022-01-18,10174.8,0.0,0,10501.009999999998
40,2022-01-19,9798.98,0.0,0,10113.149999999998
41,2022-01-20,9982.52,0.0,0,10302.569999999998
42,2022-01-21,10008.74,0.0,0,10329.629999999996
43,2022-01-24,9047.34,0.0,0,9337.429999999998
44,2022-01-25,9187.18,0.0,0,9481.749999999998
45,2022-01-26,9012.38,0.0,0,9301.35
46,2022-01-27,9012.38,0.0,0,9301.35
47,2022-01-28,9344.5,0.0,0,9644.11
48,2022-02-07,9764.02,0.0,0,10077.069999999998
49,2022-02-08,9973.78,0.0,0,10293.55
50,2022-02-09,10087.4,0.0,0,10410.809999999998
51,2022-02-10,10069.92,0.0,0,10392.77
52,2022-02-11,10279.68,2.0,2,10609.249999999998
53,2022-02-14,10069.92,0.0,0,10609.249999999998
54,2022-02-15,10131.1,0.0,0,10609.249999999998
55,2022-02-16,10323.38,0.0,0,10609.249999999998
56,2022-02-17,10541.88,0.0,0,10609.249999999998
57,2022-02-18,10804.08,0.0,0,10609.249999999998
58,2022-02-21,10952.66,0.0,0,10609.249999999998
59,2022-02-22,10847.78,0.0,0,10609.249999999998
60,2022-02-23,10603.06,0.0,0,10609.249999999998
61,2022-02-24,10305.9,0.0,0,10609.249999999998
62,2022-02-25,10463.22,0.0,0,10609.249999999998
63,2022-02-28,10777.86,0.0,0,10609.249999999998
64,2022-03-01,10926.44,0.0,0,10609.249999999998
65,2022-03-02,11206.12,0.0,0,10609.249999999998
66,2022-03-03,11153.68,0.0,0,10609.249999999998
67,2022-03-04,11031.32,0.0,0,10609.249999999998
68,2022-03-07,10437.0,0.0,0,10609.249999999998
69,2022-03-08,10323.38,0.0,0,10609.249999999998
70,2022-03-09,10498.18,0.0,0,10609.249999999998
71,2022-03-10,10454.48,0.0,0,10609.249999999998
72,2022-03-11,9956.3,1.0,1,10609.249999999998
73,2022-03-14,8959.94,0.0,0,9546.77
74,2022-03-15,9064.82,0.0,0,9658.609999999995
75,2022-03-16,9475.6,0.0,0,10096.649999999998
76,2022-03-17,9851.42,0.0,0,10497.409999999998
77,2022-03-18,10000.0,0.0,0,10655.85
78,2022-03-21,10340.86,0.0,0,11019.329999999998
79,2022-03-22,10157.32,0.0,0,10823.609999999995
80,2022-03-23,10244.72,0.0,0,10916.81
81,2022-03-24,10201.02,0.0,0,10870.21
82,2022-03-25,10305.9,2.0,2,10982.049999999996
83,2022-03-28,10620.54,0.0,0,10982.049999999996
84,2022-03-29,10489.44,0.0,0,10982.049999999996
85,2022-03-30,10559.36,0.0,0,10982.049999999996
86,2022-03-31,10471.96,0.0,0,10982.049999999996
87,2022-04-01,10340.86,0.0,0,10982.049999999996
88,2022-04-06,10419.52,0.0,0,10982.049999999996
89,2022-04-07,10489.44,0.0,0,10982.049999999996
90,2022-04-08,10594.32,0.0,0,10982.049999999996
91,2022-04-11,10777.86,0.0,0,10982.049999999996
92,2022-04-12,11267.3,0.0,0,10982.049999999996
93,2022-04-13,11748.0,0.0,0,10982.049999999996
94,2022-04-14,11555.72,0.0,0,10982.049999999996
95,2022-04-15,11162.42,0.0,0,10982.049999999996
96,2022-04-18,11555.72,0.0,0,10982.049999999996
97,2022-04-19,10568.1,0.0,0,10982.049999999996
98,2022-04-20,9930.08,0.0,0,10982.049999999996
99,2022-04-21,9973.78,0.0,0,10982.049999999996
100,2022-04-22,9099.78,0.0,0,10982.049999999996
101,2022-04-25,8575.380000000001,1.0,1,10982.049999999996
102,2022-04-26,9056.08,0.0,0,11598.049999999996
103,2022-04-27,9597.96,0.0,0,12292.45
104,2022-04-28,9160.96,0.0,0,11732.45
105,2022-04-29,9222.14,0.0,0,11810.849999999997
106,2022-05-05,8881.28,0.0,0,11374.049999999996
107,2022-05-06,8846.32,0.0,0,11329.249999999996
108,2022-05-09,8793.880000000001,0.0,0,11262.049999999996
109,2022-05-10,9012.38,0.0,0,11542.049999999996
110,2022-05-11,8855.06,0.0,0,11340.449999999995
111,2022-05-12,8942.460000000001,0.0,0,11452.45
112,2022-05-13,9134.74,0.0,0,11698.849999999997
113,2022-05-16,9292.06,0.0,0,11900.449999999995
114,2022-05-17,9292.06,0.0,0,11900.449999999995
115,2022-05-18,9274.58,0.0,0,11878.049999999996
116,2022-05-19,9772.76,2.0,2,12516.449999999995
117,2022-05-20,9877.64,0.0,0,12516.449999999995
118,2022-05-23,10314.64,0.0,0,12516.449999999995
119,2022-05-24,10402.04,0.0,0,12516.449999999995
