,tradeDate,B&H,action,operation,return
0,2021-11-23,10000.0,0,0,10000.0
1,2021-11-24,9685.36,2,0,10000.0
2,2021-11-25,9685.36,9,0,10000.0
3,2021-11-26,9431.9,1,1,10000.0
4,2021-11-29,9361.98,9,0,9925.84
5,2021-11-30,9510.56,9,0,10083.43
6,2021-12-01,9309.54,1,0,9870.22
7,2021-12-02,9519.3,9,0,10092.7
8,2021-12-03,9388.2,1,0,9953.65
9,2021-12-06,10323.38,9,0,10945.54
10,2021-12-07,10323.38,3,0,10945.54
11,2021-12-08,9729.06,9,0,10315.18
12,2021-12-09,9641.66,9,0,10222.48
13,2021-12-10,9851.42,9,0,10444.96
14,2021-12-13,9729.06,9,0,10315.18
15,2021-12-14,9755.28,9,0,10342.990000000002
16,2021-12-15,10279.68,9,0,10899.19
17,2021-12-16,9956.3,3,0,10556.2
18,2021-12-17,9431.9,9,0,10000.0
19,2021-12-20,9536.78,9,0,10111.240000000002
20,2021-12-21,9484.34,9,0,10055.62
21,2021-12-22,10428.26,9,0,11056.78
22,2021-12-23,11092.5,1,0,11761.3
23,2021-12-24,10952.66,4,0,11612.98
24,2021-12-27,10760.38,4,0,11409.04
25,2021-12-28,10498.18,9,0,11130.94
26,2021-12-29,10445.74,9,0,11075.32
27,2021-12-30,10367.08,9,0,10991.89
28,2021-12-31,10305.9,4,0,10927.0
29,2022-01-04,10026.22,3,0,10630.36
30,2022-01-05,10096.14,3,0,10704.52
31,2022-01-06,10410.78,9,0,11038.240000000002
32,2022-01-07,10734.16,9,0,11381.23
33,2022-01-10,10672.98,9,0,11316.34
34,2022-01-11,10611.8,1,0,11251.45
35,2022-01-12,10332.12,9,0,10954.81
36,2022-01-13,10026.22,9,0,10630.36
37,2022-01-14,10270.94,9,0,10889.92
38,2022-01-17,10297.16,9,0,10917.73
39,2022-01-18,10174.8,2,2,10787.95
40,2022-01-19,9798.98,4,0,10787.95
41,2022-01-20,9982.52,9,0,10787.95
42,2022-01-21,10008.74,9,0,10787.95
43,2022-01-24,9047.34,9,0,10787.95
44,2022-01-25,9187.18,9,0,10787.95
45,2022-01-26,9012.38,1,1,10787.95
46,2022-01-27,9012.38,9,0,10787.95
47,2022-01-28,9344.5,9,0,11185.81
48,2022-02-07,9764.02,9,0,11688.37
49,2022-02-08,9973.78,3,0,11939.65
50,2022-02-09,10087.4,1,0,12075.76
51,2022-02-10,10069.92,9,0,12054.82
52,2022-02-11,10279.68,9,0,12306.1
53,2022-02-14,10069.92,9,0,12054.82
54,2022-02-15,10131.1,9,0,12128.11
55,2022-02-16,10323.38,2,2,12358.45
56,2022-02-17,10541.88,2,0,12358.45
57,2022-02-18,10804.08,9,0,12358.45
58,2022-02-21,10952.66,9,0,12358.45
59,2022-02-22,10847.78,4,0,12358.45
60,2022-02-23,10603.06,9,0,12358.45
61,2022-02-24,10305.9,9,0,12358.45
62,2022-02-25,10463.22,9,0,12358.45
63,2022-02-28,10777.86,9,0,12358.45
64,2022-03-01,10926.44,9,0,12358.45
65,2022-03-02,11206.12,4,0,12358.45
66,2022-03-03,11153.68,1,1,12358.45
67,2022-03-04,11031.32,9,0,12222.79
68,2022-03-07,10437.0,9,0,11563.87
69,2022-03-08,10323.38,9,0,11437.9
70,2022-03-09,10498.18,9,0,11631.7
71,2022-03-10,10454.48,1,0,11583.25
72,2022-03-11,9956.3,9,0,11030.920000000002
73,2022-03-14,8959.94,9,0,9926.26
74,2022-03-15,9064.82,9,0,10042.54
75,2022-03-16,9475.6,9,0,10497.97
76,2022-03-17,9851.42,9,0,10914.64
77,2022-03-18,10000.0,9,0,11079.37
78,2022-03-21,10340.86,1,0,11457.28
79,2022-03-22,10157.32,3,0,11253.79
80,2022-03-23,10244.72,9,0,11350.690000000002
81,2022-03-24,10201.02,9,0,11302.240000000002
82,2022-03-25,10305.9,9,0,11418.52
83,2022-03-28,10620.54,2,0,11767.36
84,2022-03-29,10489.44,3,0,11622.01
85,2022-03-30,10559.36,4,0,11699.53
86,2022-03-31,10471.96,4,0,11602.63
87,2022-04-01,10340.86,9,0,11457.28
88,2022-04-06,10419.52,9,0,11544.490000000002
89,2022-04-07,10489.44,9,0,11622.01
90,2022-04-08,10594.32,9,0,11738.29
91,2022-04-11,10777.86,3,0,11941.78
92,2022-04-12,11267.3,4,0,12484.420000000002
93,2022-04-13,11748.0,10,0,13017.37
94,2022-04-14,11555.72,2,2,12804.190000000002
95,2022-04-15,11162.42,9,0,12804.190000000002
96,2022-04-18,11555.72,9,0,12804.190000000002
97,2022-04-19,10568.1,9,0,12804.190000000002
98,2022-04-20,9930.08,9,0,12804.190000000002
99,2022-04-21,9973.78,9,0,12804.190000000002
100,2022-04-22,9099.78,4,0,12804.190000000002
101,2022-04-25,8575.380000000001,9,0,12804.190000000002
102,2022-04-26,9056.08,9,0,12804.190000000002
103,2022-04-27,9597.96,9,0,12804.190000000002
104,2022-04-28,9160.96,1,1,12804.190000000002
105,2022-04-29,9222.14,9,0,12889.73
106,2022-05-05,8881.28,9,0,12413.150000000003
107,2022-05-06,8846.32,9,0,12364.270000000002
108,2022-05-09,8793.880000000001,9,0,12290.950000000004
109,2022-05-10,9012.38,9,0,12596.450000000004
