,tradeDate,B&H,action,operation,return
0,2021-11-23,10000.0,0,0,10000.0
1,2021-11-24,9685.36,0,0,10000.0
2,2021-11-25,9685.36,0,0,10000.0
3,2021-11-26,9431.9,0,0,10000.0
4,2021-11-29,9361.98,0,0,10000.0
5,2021-11-30,9510.56,1,1,10000.0
6,2021-12-01,9309.54,0,0,9830.95
7,2021-12-02,9519.3,1,1,10007.35
8,2021-12-03,9388.2,0,0,9875.05
9,2021-12-06,10323.38,0,0,10818.79
10,2021-12-07,10323.38,2,2,10818.79
11,2021-12-08,9729.06,0,0,10818.79
12,2021-12-09,9641.66,0,0,10818.79
13,2021-12-10,9851.42,0,0,10818.79
14,2021-12-13,9729.06,1,1,10818.79
15,2021-12-14,9755.28,0,0,10842.130000000005
16,2021-12-15,10279.68,1,1,11308.930000000002
17,2021-12-16,9956.3,1,1,10966.680000000004
18,2021-12-17,9431.9,1,1,10393.68
19,2021-12-20,9536.78,0,0,10509.120000000004
20,2021-12-21,9484.34,1,1,10451.4
21,2021-12-22,10428.26,0,0,11491.44
22,2021-12-23,11092.5,0,0,12223.320000000002
23,2021-12-24,10952.66,2,2,12069.240000000002
24,2021-12-27,10760.38,0,0,12069.240000000002
25,2021-12-28,10498.18,0,0,12069.240000000002
26,2021-12-29,10445.74,2,0,12069.240000000002
27,2021-12-30,10367.08,2,0,12069.240000000002
28,2021-12-31,10305.9,0,0,12069.240000000002
29,2022-01-04,10026.22,1,1,12069.240000000002
30,2022-01-05,10096.14,1,1,12136.6
31,2022-01-06,10410.78,0,0,12499.84
32,2022-01-07,10734.16,1,1,12873.17
33,2022-01-10,10672.98,2,2,12800.3
34,2022-01-11,10611.8,0,0,12800.3
35,2022-01-12,10332.12,0,0,12800.3
36,2022-01-13,10026.22,0,0,12800.3
37,2022-01-14,10270.94,0,0,12800.3
38,2022-01-17,10297.16,2,0,12800.3
39,2022-01-18,10174.8,2,0,12800.3
40,2022-01-19,9798.98,2,0,12800.3
41,2022-01-20,9982.52,0,0,12800.3
42,2022-01-21,10008.74,0,0,12800.3
43,2022-01-24,9047.34,0,0,12800.3
44,2022-01-25,9187.18,0,0,12800.3
45,2022-01-26,9012.38,0,0,12800.3
46,2022-01-27,9012.38,1,1,12800.3
47,2022-01-28,9344.5,0,0,13178.02
48,2022-02-07,9764.02,1,1,13655.139999999998
49,2022-02-08,9973.78,1,1,13937.62
50,2022-02-09,10087.4,0,0,14095.309999999998
51,2022-02-10,10069.92,2,2,14071.049999999996
52,2022-02-11,10279.68,0,0,14071.049999999996
53,2022-02-14,10069.92,0,0,14071.049999999996
54,2022-02-15,10131.1,0,0,14071.049999999996
55,2022-02-16,10323.38,1,1,14071.049999999996
56,2022-02-17,10541.88,1,1,14309.299999999996
57,2022-02-18,10804.08,1,1,14651.299999999996
58,2022-02-21,10952.66,1,1,14851.389999999996
59,2022-02-22,10847.78,1,1,14709.309999999996
60,2022-02-23,10603.06,0,0,14377.509999999997
61,2022-02-24,10305.9,0,0,13974.609999999995
62,2022-02-25,10463.22,0,0,14187.909999999996
63,2022-02-28,10777.86,1,0,14614.509999999997
64,2022-03-01,10926.44,0,0,14815.959999999995
65,2022-03-02,11206.12,1,0,15195.159999999996
66,2022-03-03,11153.68,2,2,15124.059999999996
67,2022-03-04,11031.32,2,0,15124.059999999996
68,2022-03-07,10437.0,2,0,15124.059999999996
69,2022-03-08,10323.38,0,0,15124.059999999996
70,2022-03-09,10498.18,0,0,15124.059999999996
71,2022-03-10,10454.48,0,0,15124.059999999996
72,2022-03-11,9956.3,0,0,15124.059999999996
73,2022-03-14,8959.94,0,0,15124.059999999996
74,2022-03-15,9064.82,2,0,15124.059999999996
75,2022-03-16,9475.6,1,1,15124.059999999996
76,2022-03-17,9851.42,1,1,15604.369999999995
77,2022-03-18,10000.0,0,0,15830.809999999996
78,2022-03-21,10340.86,0,0,16350.289999999995
79,2022-03-22,10157.32,0,0,16070.569999999994
80,2022-03-23,10244.72,0,0,16203.769999999997
81,2022-03-24,10201.02,2,2,16137.169999999996
82,2022-03-25,10305.9,2,0,16137.169999999996
83,2022-03-28,10620.54,1,1,16137.169999999996
84,2022-03-29,10489.44,1,1,15977.719999999998
85,2022-03-30,10559.36,1,1,16079.959999999995
86,2022-03-31,10471.96,0,0,15947.859999999995
87,2022-04-01,10340.86,1,1,15749.709999999995
88,2022-04-06,10419.52,1,1,15869.409999999998
89,2022-04-07,10489.44,1,1,15975.889999999998
90,2022-04-08,10594.32,1,0,16135.729999999996
91,2022-04-11,10777.86,1,0,16415.449999999997
92,2022-04-12,11267.3,0,0,17161.369999999995
93,2022-04-13,11748.0,1,0,17893.969999999994
94,2022-04-14,11555.72,2,2,17600.929999999997
95,2022-04-15,11162.42,2,0,17600.929999999997
96,2022-04-18,11555.72,2,0,17600.929999999997
97,2022-04-19,10568.1,0,0,17600.929999999997
98,2022-04-20,9930.08,0,0,17600.929999999997
99,2022-04-21,9973.78,0,0,17600.929999999997
100,2022-04-22,9099.78,1,1,17600.929999999997
101,2022-04-25,8575.380000000001,1,1,16789.129999999997
102,2022-04-26,9056.08,0,0,17691.679999999993
103,2022-04-27,9597.96,1,1,18709.1
104,2022-04-28,9160.96,1,1,17863.099999999995
105,2022-04-29,9222.14,0,0,17982.309999999994
106,2022-05-05,8881.28,0,0,17318.139999999996
107,2022-05-06,8846.32,0,0,17250.019999999993
108,2022-05-09,8793.880000000001,0,0,17147.839999999997
109,2022-05-10,9012.38,0,0,17573.589999999997
110,2022-05-11,8855.06,2,0,17267.049999999992
111,2022-05-12,8942.460000000001,0,0,17437.349999999995
112,2022-05-13,9134.74,1,1,17812.009999999995
113,2022-05-16,9292.06,0,0,18118.909999999996
114,2022-05-17,9292.06,1,0,18118.909999999996
