,predict_model,MSE,RMSE,MAE,MAPE(%),MDA(%),R_2,score
0,LSTM=1_time_step=3,19.09920231570422,1.158566056682295,0.8972521007684461,3.693703214269155,47.61244019138755,0.740013263739478,0.23617446483433008
1,LSTM=2_time_step=3,187.58488994194778,2.14570342968717,1.9341638718903351,4.146407044998327,49.19138755980861,0.3381226272958008,0.14263051163963011
2,LSTM=3_time_step=3,572.4492560304896,3.397241334838963,3.204135216366777,4.449312970000412,49.56459330143539,0.3444176961729371,0.01764000553336934
3,LSTM=4_time_step=3,194.12533245369195,2.457174296195085,2.204989437345109,4.665255585576204,49.291866028708164,0.557478914589934,0.11521360729529359
4,LSTM=1_time_step=5,15.625510659646604,1.161306676638004,0.840618753490142,3.2580326711254286,47.63636363636365,0.8115554018438762,0.24287660476328035
5,LSTM=2_time_step=5,20.650547199612028,1.0758704618831056,0.8215269322292535,2.859686484003619,48.846889952153134,0.8591125037767207,0.2540561634741392
6,LSTM=3_time_step=5,13.88995775719102,1.0266873829705931,0.7524497292664383,3.0572747506285,48.8086124401914,0.8286425373471864,0.26030076465343877
7,LSTM=4_time_step=5,14.63989717883001,1.0718655839058975,0.7913106827912746,3.485117719871562,48.607655502392355,0.7746627351412303,0.25415228479787577
8,LSTM=1_time_step=10,15.345836526538804,1.3022106040612862,0.969121709906556,3.966827040227408,48.143540669856456,0.7251074214871542,0.2321589596178847
9,LSTM=2_time_step=10,19.634382182579426,1.2038931654070806,0.8917255724669565,3.6547323927786617,47.65071770334927,0.7665706360611759,0.23707300189119215
10,LSTM=3_time_step=10,17.308285910455258,1.2218157850607678,0.9097127060734216,3.5051193270816476,48.684210526315795,0.7530076544785821,0.24280796442270497
11,LSTM=4_time_step=10,14.247772589331998,1.1149281393201234,0.8171736853114153,3.662565345785884,48.976076555023944,0.6770411160336712,0.25379003666245414
