,secID,tradeDate,preClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverRate,chgPct,PB,target
0,000593.XSHE,2005-01-04,3.53,3.53,3.54,3.4,3.41,0.0069,-0.034,1.4462,3.51
1,000593.XSHE,2005-01-05,3.41,3.38,3.54,3.38,3.51,0.0065,0.0293,1.4886,3.47
2,000593.XSHE,2005-01-06,3.51,3.52,3.53,3.44,3.47,0.0037,-0.0114,1.4716,3.5
3,000593.XSHE,2005-01-07,3.47,3.44,3.53,3.44,3.5,0.0049,0.0086,1.4843,3.56
4,000593.XSHE,2005-01-10,3.5,3.5,3.58,3.48,3.56,0.0034,0.0171,1.5098,3.59
5,000593.XSHE,2005-01-11,3.56,3.57,3.6,3.54,3.59,0.0026,0.0084,1.5225,3.56
6,000593.XSHE,2005-01-12,3.59,3.59,3.59,3.52,3.56,0.0025,-0.0084,1.5098,3.57
7,000593.XSHE,2005-01-13,3.56,3.54,3.61,3.53,3.57,0.0034,0.0028,1.514,3.5
8,000593.XSHE,2005-01-14,3.57,3.55,3.65,3.5,3.5,0.0038,-0.0196,1.4843,3.4
9,000593.XSHE,2005-01-17,3.5,3.48,3.48,3.37,3.4,0.0049,-0.0286,1.4419,3.5
10,000593.XSHE,2005-01-18,3.4,3.41,3.51,3.36,3.5,0.0065,0.0294,1.4843,3.54
11,000593.XSHE,2005-01-19,3.5,3.46,3.59,3.43,3.54,0.0052,0.0114,1.5013,3.5
12,000593.XSHE,2005-01-20,3.54,3.51,3.54,3.45,3.5,0.0048,-0.0113,1.4843,3.59
13,000593.XSHE,2005-01-21,3.5,3.45,3.61,3.43,3.59,0.006,0.0257,1.5225,3.88
14,000593.XSHE,2005-01-24,3.59,3.68,3.89,3.62,3.88,0.0211,0.0808,1.6455,3.89
15,000593.XSHE,2005-01-25,3.88,3.98,4.07,3.8,3.89,0.0679,0.0026,1.6497,3.74
16,000593.XSHE,2005-01-26,3.89,3.85,3.85,3.74,3.74,0.0097,-0.0386,1.5861,3.75
17,000593.XSHE,2005-01-27,3.74,3.74,3.82,3.65,3.75,0.0092,0.0027,1.5904,3.59
18,000593.XSHE,2005-01-28,3.75,3.72,3.74,3.51,3.59,0.0069,-0.0427,1.5225,3.46
19,000593.XSHE,2005-01-31,3.59,3.49,3.5,3.39,3.46,0.0058,-0.0362,1.4674,3.42
20,000593.XSHE,2005-02-01,3.46,3.4,3.54,3.39,3.42,0.005,-0.0116,1.4504,3.62
21,000593.XSHE,2005-02-02,3.42,3.42,3.63,3.39,3.62,0.0082,0.0585,1.5352,3.47
22,000593.XSHE,2005-02-03,3.62,3.62,3.66,3.3,3.47,0.01,-0.0414,1.4716,3.53
23,000593.XSHE,2005-02-04,3.47,3.49,3.56,3.4,3.53,0.0115,0.0173,1.4971,3.58
24,000593.XSHE,2005-02-16,3.53,3.54,3.67,3.48,3.58,0.0083,0.0142,1.5183,3.59
25,000593.XSHE,2005-02-17,3.58,3.59,3.59,3.53,3.59,0.0049,0.0028,1.5225,3.62
26,000593.XSHE,2005-02-18,3.59,3.58,3.62,3.55,3.62,0.0054,0.0084,1.5352,3.66
27,000593.XSHE,2005-02-21,3.62,3.64,3.69,3.6,3.66,0.0079,0.011,1.5522,3.73
28,000593.XSHE,2005-02-22,3.66,3.65,3.76,3.63,3.73,0.012,0.0191,1.5819,3.76
29,000593.XSHE,2005-02-23,3.73,3.71,3.78,3.68,3.76,0.0112,0.008,1.5946,3.75
30,000593.XSHE,2005-02-24,3.76,3.73,3.77,3.69,3.75,0.0074,-0.0027,1.5904,3.73
31,000593.XSHE,2005-02-25,3.75,3.75,3.84,3.73,3.73,0.0106,-0.0053,1.5819,3.87
32,000593.XSHE,2005-02-28,3.73,3.75,3.9,3.75,3.87,0.0176,0.0375,1.6412,3.81
33,000593.XSHE,2005-03-01,3.87,3.86,3.88,3.76,3.81,0.0079,-0.0155,1.6158,3.69
34,000593.XSHE,2005-03-02,3.81,3.8,3.82,3.67,3.69,0.0105,-0.0315,1.5649,3.74
35,000593.XSHE,2005-03-03,3.69,3.63,3.76,3.63,3.74,0.0054,0.0136,1.5861,3.71
36,000593.XSHE,2005-03-04,3.74,3.75,3.78,3.68,3.71,0.0065,-0.008,1.5734,3.81
37,000593.XSHE,2005-03-07,3.71,3.9,4.0,3.78,3.81,0.0314,0.027,1.6158,3.89
38,000593.XSHE,2005-03-08,3.81,3.75,3.89,3.75,3.89,0.0165,0.021,1.6497,3.93
39,000593.XSHE,2005-03-09,3.89,3.91,3.93,3.85,3.93,0.0125,0.0103,1.6667,4.07
40,000593.XSHE,2005-03-10,3.93,4.01,4.28,4.01,4.07,0.0729,0.0356,1.7261,4.15
41,000593.XSHE,2005-03-11,4.07,4.05,4.2,3.98,4.15,0.0287,0.0197,1.76,4.0
42,000593.XSHE,2005-03-14,4.15,4.15,4.18,3.96,4.0,0.0181,-0.0361,1.6964,4.18
43,000593.XSHE,2005-03-15,4.0,4.0,4.19,3.93,4.18,0.0277,0.045,1.7727,4.2
44,000593.XSHE,2005-03-16,4.18,4.19,4.25,4.05,4.2,0.0248,0.0048,1.7812,4.06
45,000593.XSHE,2005-03-17,4.2,4.15,4.18,4.03,4.06,0.0141,-0.0333,1.7218,3.8
