,secID,tradeDate,preClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,target
0,510500.XSHG,2013-03-15,0.968,0.967,0.985,0.955,0.97,325927308,0.954
1,510500.XSHG,2013-03-18,0.97,0.955,0.972,0.953,0.954,93696218,0.96
2,510500.XSHG,2013-03-19,0.954,0.956,0.96,0.941,0.96,108049984,0.985
3,510500.XSHG,2013-03-20,0.96,0.96,0.986,0.958,0.985,50119528,0.995
4,510500.XSHG,2013-03-21,0.985,0.985,0.996,0.981,0.995,69824364,0.999
5,510500.XSHG,2013-03-22,0.995,0.995,1.0,0.989,0.999,60943343,0.996
6,510500.XSHG,2013-03-25,0.999,0.999,1.0,0.989,0.996,30502712,0.986
7,510500.XSHG,2013-03-26,0.996,0.99,0.993,0.975,0.986,5369756,0.989
8,510500.XSHG,2013-03-27,0.986,0.985,0.998,0.97,0.989,26132979,0.962
9,510500.XSHG,2013-03-28,0.989,0.973,0.975,0.95,0.962,9233724,0.963
10,510500.XSHG,2013-03-29,0.962,0.963,0.969,0.959,0.963,75201293,0.968
11,510500.XSHG,2013-04-01,0.963,0.964,0.975,0.962,0.968,20658094,0.957
12,510500.XSHG,2013-04-02,0.968,0.963,0.978,0.955,0.957,3099051,0.951
13,510500.XSHG,2013-04-03,0.957,0.958,0.96,0.946,0.951,6798312,0.953
14,510500.XSHG,2013-04-08,0.951,0.92,0.953,0.92,0.953,62215103,0.962
15,510500.XSHG,2013-04-09,0.953,0.953,0.963,0.953,0.962,18061677,0.959
16,510500.XSHG,2013-04-10,0.962,0.955,0.965,0.953,0.959,6880585,0.957
17,510500.XSHG,2013-04-11,0.959,0.965,0.965,0.953,0.957,14865747,0.949
18,510500.XSHG,2013-04-12,0.957,0.952,0.957,0.947,0.949,27367720,0.932
19,510500.XSHG,2013-04-15,0.949,0.944,0.944,0.929,0.932,5391779,0.943
20,510500.XSHG,2013-04-16,0.932,0.914,0.944,0.914,0.943,8485444,0.951
21,510500.XSHG,2013-04-17,0.943,0.942,0.953,0.94,0.951,10954704,0.954
22,510500.XSHG,2013-04-18,0.951,0.931,0.959,0.931,0.954,4999165,0.974
23,510500.XSHG,2013-04-19,0.954,0.956,0.976,0.956,0.974,7293149,0.98
24,510500.XSHG,2013-04-22,0.974,0.97,0.98,0.969,0.98,3898607,0.952
25,510500.XSHG,2013-04-23,0.98,0.975,0.978,0.951,0.952,5978525,0.971
26,510500.XSHG,2013-04-24,0.952,0.953,0.971,0.951,0.971,3310903,0.959
27,510500.XSHG,2013-04-25,0.971,0.972,0.977,0.959,0.959,19456587,0.943
28,510500.XSHG,2013-04-26,0.959,0.96,0.961,0.94,0.943,13931683,0.946
29,510500.XSHG,2013-05-02,0.943,0.94,0.949,0.936,0.946,14967829,0.966
30,510500.XSHG,2013-05-03,0.946,0.954,0.968,0.954,0.966,9926007,0.983
31,510500.XSHG,2013-05-06,0.966,0.966,0.985,0.966,0.983,21874955,0.985
32,510500.XSHG,2013-05-07,0.983,0.981,0.989,0.979,0.985,18240439,0.995
33,510500.XSHG,2013-05-08,0.985,0.984,0.996,0.984,0.995,16910056,0.995
34,510500.XSHG,2013-05-09,0.995,0.995,0.997,0.985,0.995,8128074,1.001
35,510500.XSHG,2013-05-10,0.995,0.992,1.002,0.992,1.001,23199337,1.004
36,510500.XSHG,2013-05-13,1.001,0.997,1.006,0.997,1.004,23216821,0.993
