,tradeDate,B&H,action,operation,return
0,2021-11-23,10000.0,0.0,0,10000.0
1,2021-11-24,9903.88,0.0,0,10000.0
2,2021-11-25,9831.79,0.0,0,10000.0
3,2021-11-26,9759.7,0.0,0,10000.0
4,2021-11-29,9711.64,0.0,0,10000.0
5,2021-11-30,9927.91,0.0,0,10000.0
6,2021-12-01,10072.090000000002,0.0,0,10000.0
7,2021-12-02,10096.12,0.0,0,10000.0
8,2021-12-03,10048.06,0.0,0,10000.0
9,2021-12-06,10168.21,0.0,0,10000.0
10,2021-12-07,10144.18,0.0,0,10000.0
11,2021-12-08,10264.33,0.0,0,10000.0
12,2021-12-09,10144.18,2.0,0,10000.0
13,2021-12-10,10144.18,0.0,0,10000.0
14,2021-12-13,10000.0,0.0,0,10000.0
15,2021-12-14,9975.97,0.0,0,10000.0
16,2021-12-15,10144.18,0.0,0,10000.0
17,2021-12-16,10096.12,0.0,0,10000.0
18,2021-12-17,10048.06,0.0,0,10000.0
19,2021-12-20,10120.15,0.0,0,10000.0
20,2021-12-21,10096.12,0.0,0,10000.0
21,2021-12-22,10216.27,0.0,0,10000.0
22,2021-12-23,10120.15,0.0,0,10000.0
23,2021-12-24,10216.27,0.0,0,10000.0
24,2021-12-27,10192.240000000002,2.0,0,10000.0
25,2021-12-28,10192.240000000002,0.0,0,10000.0
26,2021-12-29,10144.18,0.0,0,10000.0
27,2021-12-30,10168.21,0.0,0,10000.0
28,2021-12-31,10240.3,0.0,0,10000.0
29,2022-01-04,10288.36,2.0,0,10000.0
30,2022-01-05,10264.33,2.0,0,10000.0
31,2022-01-06,10456.57,0.0,0,10000.0
32,2022-01-07,10432.54,2.0,0,10000.0
33,2022-01-10,10336.42,0.0,0,10000.0
34,2022-01-11,10384.48,0.0,0,10000.0
35,2022-01-12,10504.63,0.0,0,10000.0
36,2022-01-13,10216.27,2.0,0,10000.0
37,2022-01-14,10168.21,0.0,0,10000.0
38,2022-01-17,10432.54,0.0,0,10000.0
39,2022-01-18,10432.54,0.0,0,10000.0
40,2022-01-19,10456.57,0.0,0,10000.0
41,2022-01-20,10312.39,0.0,0,10000.0
42,2022-01-21,10288.36,0.0,0,10000.0
43,2022-01-24,10072.090000000002,0.0,0,10000.0
44,2022-01-25,10216.27,1.0,1,10000.0
45,2022-01-26,10168.21,0.0,0,9952.96
46,2022-01-27,10072.090000000002,0.0,0,9858.88
47,2022-01-28,10480.6,1.0,0,10258.72
48,2022-02-07,10624.78,2.0,2,10399.84
49,2022-02-08,10552.69,2.0,0,10399.84
50,2022-02-09,10696.87,0.0,0,10399.84
51,2022-02-10,10817.02,2.0,0,10399.84
52,2022-02-11,10672.840000000002,2.0,0,10399.84
53,2022-02-14,10456.57,0.0,0,10399.84
54,2022-02-15,10456.57,0.0,0,10399.84
55,2022-02-16,10456.57,0.0,0,10399.84
56,2022-02-17,10528.66,0.0,0,10399.84
57,2022-02-18,10480.6,0.0,0,10399.84
58,2022-02-21,10576.72,0.0,0,10399.84
59,2022-02-22,10408.51,0.0,0,10399.84
60,2022-02-23,10552.69,1.0,1,10399.84
61,2022-02-24,10336.42,0.0,0,10186.72
62,2022-02-25,10408.51,1.0,0,10257.760000000002
63,2022-02-28,10384.48,0.0,0,10234.080000000002
64,2022-03-01,10480.6,0.0,0,10328.800000000005
65,2022-03-02,10672.840000000002,0.0,0,10518.240000000002
66,2022-03-03,10528.66,2.0,2,10376.160000000002
67,2022-03-04,10456.57,0.0,0,10376.160000000002
68,2022-03-07,10168.21,0.0,0,10376.160000000002
69,2022-03-08,9951.94,1.0,1,10376.160000000002
70,2022-03-09,9975.97,1.0,0,10401.220000000005
71,2022-03-10,9975.97,0.0,0,10401.220000000005
72,2022-03-11,9879.85,0.0,0,10300.980000000003
73,2022-03-14,9567.46,1.0,0,9975.200000000004
74,2022-03-15,9759.7,1.0,0,10175.680000000002
75,2022-03-16,9807.76,0.0,0,10225.800000000005
76,2022-03-17,9927.91,0.0,0,10351.100000000002
77,2022-03-18,9879.85,0.0,0,10300.980000000003
78,2022-03-21,9975.97,0.0,0,10401.220000000005
79,2022-03-22,9927.91,0.0,0,10351.100000000002
80,2022-03-23,9975.97,0.0,0,10401.220000000005
81,2022-03-24,10000.0,0.0,0,10426.280000000004
82,2022-03-25,10312.39,2.0,2,10752.060000000003
83,2022-03-28,10408.51,2.0,0,10752.060000000003
84,2022-03-29,10384.48,2.0,0,10752.060000000003
85,2022-03-30,10384.48,2.0,0,10752.060000000003
86,2022-03-31,10504.63,2.0,0,10752.060000000003
87,2022-04-01,10600.75,2.0,0,10752.060000000003
88,2022-04-06,10480.6,2.0,0,10752.060000000003
89,2022-04-07,10528.66,0.0,0,10752.060000000003
90,2022-04-08,10432.54,0.0,0,10752.060000000003
91,2022-04-11,10456.57,0.0,0,10752.060000000003
92,2022-04-12,10456.57,0.0,0,10752.060000000003
93,2022-04-13,10552.69,0.0,0,10752.060000000003
94,2022-04-14,10456.57,0.0,0,10752.060000000003
95,2022-04-15,10312.39,0.0,0,10752.060000000003
96,2022-04-18,10480.6,1.0,1,10752.060000000003
97,2022-04-19,10336.42,0.0,0,10604.100000000002
98,2022-04-20,10192.240000000002,0.0,0,10456.140000000005
99,2022-04-21,10408.51,1.0,0,10678.080000000004
100,2022-04-22,10072.090000000002,0.0,0,10332.840000000004
101,2022-04-25,9975.97,1.0,0,10234.200000000004
102,2022-04-26,10144.18,1.0,0,10406.820000000002
103,2022-04-27,10384.48,0.0,0,10653.420000000004
