,tradeDate,B&H,action,operation,return
0,2021-11-16,10000.0,,0,10000.0
1,2021-11-17,9900.89,0.0,0,10000.0
2,2021-11-18,9954.95,0.0,0,10000.0
3,2021-11-19,9990.99,0.0,0,10000.0
4,2021-11-22,10000.0,0.0,0,10000.0
5,2021-11-23,10063.07,0.0,0,10000.0
6,2021-11-24,10153.17,0.0,0,10000.0
7,2021-11-25,10081.09,0.0,0,10000.0
8,2021-11-26,10162.18,0.0,0,10000.0
9,2021-11-29,10135.15,0.0,0,10000.0
10,2021-11-30,10171.19,0.0,0,10000.0
11,2021-12-01,10135.15,0.0,0,10000.0
12,2021-12-02,10126.14,0.0,0,10000.0
13,2021-12-03,10063.07,0.0,0,10000.0
14,2021-12-06,10063.07,0.0,0,10000.0
15,2021-12-07,10081.09,1.0,1,10000.0
16,2021-12-08,10162.18,0.0,0,10080.46
17,2021-12-09,10171.19,0.0,0,10089.4
18,2021-12-10,10189.21,0.0,0,10107.28
19,2021-12-13,10171.19,2.0,2,10089.4
20,2021-12-14,10171.19,0.0,0,10089.4
21,2021-12-15,10162.18,0.0,0,10089.4
22,2021-12-16,10144.16,0.0,0,10089.4
23,2021-12-17,10234.26,0.0,0,10089.4
24,2021-12-20,10288.32,0.0,0,10089.4
25,2021-12-21,10360.4,0.0,0,10089.4
26,2021-12-22,10324.36,0.0,0,10089.4
27,2021-12-23,10387.43,0.0,0,10089.4
28,2021-12-24,10675.75,0.0,0,10089.4
29,2021-12-27,10486.54,0.0,0,10089.4
30,2021-12-28,10450.5,0.0,0,10089.4
31,2021-12-29,10522.58,0.0,0,10089.4
32,2021-12-30,10648.72,0.0,0,10089.4
33,2021-12-31,10846.94,0.0,0,10089.4
34,2022-01-04,10594.66,0.0,0,10089.4
35,2022-01-05,10711.79,0.0,0,10089.4
36,2022-01-06,10639.71,0.0,0,10089.4
37,2022-01-07,10630.7,0.0,0,10089.4
38,2022-01-10,10774.86,0.0,0,10089.4
39,2022-01-11,10801.89,0.0,0,10089.4
40,2022-01-12,10594.66,0.0,0,10089.4
