,tradeDate,B&H,action,operation,return
0,2021-11-16,10000.0,2,0,10000.0
1,2021-11-17,9985.0,1,1,10000.0
2,2021-11-18,10167.05,2,2,10182.05
3,2021-11-19,10296.35,1,1,10182.05
4,2021-11-22,10507.15,0,0,10392.85
5,2021-11-23,10730.0,2,2,10615.7
6,2021-11-24,10805.15,0,0,10615.7
7,2021-11-25,10730.05,1,1,10615.7
8,2021-11-26,10950.0,0,0,10835.65
9,2021-11-29,10678.85,0,0,10564.500000000002
10,2021-11-30,10689.95,1,0,10575.600000000002
11,2021-12-01,10695.0,0,0,10580.65
12,2021-12-02,10884.4,1,0,10770.050000000005
13,2021-12-03,10861.5,1,0,10747.15
14,2021-12-06,10804.35,0,0,10690.0
15,2021-12-07,11240.0,2,2,11125.65
16,2021-12-08,11457.75,0,0,11125.65
17,2021-12-09,11475.0,2,0,11125.65
18,2021-12-10,11616.0,0,0,11125.65
19,2021-12-13,11775.0,2,0,11125.65
20,2021-12-14,11700.0,0,0,11125.65
21,2021-12-15,11619.95,2,0,11125.65
22,2021-12-16,11278.5,0,0,11125.65
23,2021-12-17,11319.8,0,0,11125.65
24,2021-12-20,11216.0,1,1,11125.65
25,2021-12-21,11265.0,0,0,11174.65
26,2021-12-22,11625.0,1,0,11534.65
27,2021-12-23,11995.45,2,2,11905.100000000002
28,2021-12-24,11684.1,1,1,11905.100000000002
29,2021-12-27,11715.9,2,2,11936.9
30,2021-12-28,11230.0,1,1,11936.9
31,2021-12-29,11400.0,0,0,12106.9
32,2021-12-30,11275.0,2,2,11981.9
33,2021-12-31,11281.15,0,0,11981.9
34,2022-01-04,11145.0,2,0,11981.9
35,2022-01-05,10936.1,0,0,11981.9
36,2022-01-06,10735.0,1,1,11981.9
37,2022-01-07,10855.0,0,0,12125.9
38,2022-01-10,10727.75,2,0,11973.2
39,2022-01-11,10860.0,1,0,12131.9
40,2022-01-12,10411.95,2,0,11594.240000000002
41,2022-01-13,10360.0,1,0,11531.9
42,2022-01-14,10333.05,2,0,11499.56
43,2022-01-17,10486.35,1,0,11683.52
44,2022-01-18,10585.0,2,0,11801.9
45,2022-01-19,10872.6,1,0,12147.02
46,2022-01-20,10949.95,2,2,12239.840000000002
47,2022-01-21,10776.0,1,1,12239.840000000002
48,2022-01-24,10740.0,2,0,12196.64
49,2022-01-25,10800.0,1,0,12268.64
