,tradeDate,B&H,action,operation,return
0,2021-11-23,10000.0,0,0,10000.0
1,2021-11-24,9750.22,1,1,10000.0
2,2021-11-25,9522.160000000002,1,0,9766.06
3,2021-11-26,9467.860000000002,1,0,9710.36
4,2021-11-29,9304.96,1,0,9543.26
5,2021-11-30,9543.88,1,0,9788.34
6,2021-12-01,9424.420000000002,1,0,9665.8
7,2021-12-02,9685.06,1,0,9933.16
8,2021-12-03,9858.820000000002,1,0,10111.4
9,2021-12-06,10054.3,0,0,10311.92
10,2021-12-07,10065.160000000002,1,0,10323.06
11,2021-12-08,9869.68,1,0,10122.54
12,2021-12-09,9804.52,1,0,10055.7
13,2021-12-10,10043.44,1,0,10300.78
14,2021-12-13,9717.64,1,0,9966.58
15,2021-12-14,9554.74,1,0,9799.48
16,2021-12-15,10021.72,1,0,10278.5
17,2021-12-16,10021.72,1,0,10278.5
18,2021-12-17,9652.48,1,0,9899.740000000002
19,2021-12-20,9706.78,1,0,9955.44
20,2021-12-21,9978.28,1,0,10233.94
21,2021-12-22,10412.68,1,0,10679.54
22,2021-12-23,10043.44,1,0,10300.78
23,2021-12-24,9869.68,1,0,10122.54
24,2021-12-27,9945.7,2,2,10200.52
25,2021-12-28,9804.52,1,1,10200.52
26,2021-12-29,9989.14,1,0,10392.62
27,2021-12-30,9880.54,1,0,10279.62
28,2021-12-31,10043.44,1,0,10449.12
29,2022-01-04,9837.100000000002,0,0,10234.42
30,2022-01-05,10054.3,1,0,10460.42
31,2022-01-06,10553.860000000002,1,0,10980.22
32,2022-01-07,11183.74,1,0,11635.62
33,2022-01-10,11444.38,1,0,11906.82
34,2022-01-11,11444.38,1,0,11906.82
35,2022-01-12,11661.580000000002,2,2,12132.82
36,2022-01-13,11238.04,1,1,12132.82
37,2022-01-14,11172.88,1,0,12062.44
38,2022-01-17,11965.660000000002,1,0,12918.73
39,2022-01-18,12009.100000000002,1,0,12965.65
40,2022-01-19,12095.98,1,0,13059.490000000002
41,2022-01-20,12552.100000000002,1,0,13552.15
42,2022-01-21,12041.68,2,2,13000.84
43,2022-01-24,11824.48,1,1,13000.84
44,2022-01-25,12324.04,1,0,13550.079999999998
45,2022-01-26,12085.12,2,2,13287.399999999998
46,2022-01-27,11650.72,1,1,13287.399999999998
47,2022-01-28,12486.94,1,0,14241.429999999997
48,2022-02-07,13735.840000000002,0,0,15666.28
49,2022-02-08,13811.860000000002,1,0,15753.009999999998
50,2022-02-09,14202.820000000002,1,0,16199.049999999996
51,2022-02-10,14126.8,1,0,16112.319999999998
52,2022-02-11,13757.56,1,0,15691.059999999998
