,tradeDate,B&H,action,operation,return
0,2021-11-23,10000.0,0,0,10000.0
1,2021-11-24,9811.36,0,0,10000.0
2,2021-11-25,9717.04,0,0,10000.0
3,2021-11-26,9528.4,0,0,10000.0
4,2021-11-29,9528.4,0,0,10000.0
5,2021-11-30,9764.2,0,0,10000.0
6,2021-12-01,9717.04,0,0,10000.0
7,2021-12-02,9764.2,0,0,10000.0
8,2021-12-03,9905.68,0,0,10000.0
9,2021-12-06,9717.04,0,0,10000.0
10,2021-12-07,9811.36,0,0,10000.0
11,2021-12-08,9811.36,0,0,10000.0
12,2021-12-09,9717.04,0,0,10000.0
13,2021-12-10,9622.72,0,0,10000.0
14,2021-12-13,9481.24,0,0,10000.0
15,2021-12-14,9528.4,0,0,10000.0
16,2021-12-15,9764.2,0,0,10000.0
17,2021-12-16,9952.84,0,0,10000.0
18,2021-12-17,9669.88,0,0,10000.0
19,2021-12-20,10094.32,0,0,10000.0
20,2021-12-21,10377.28,0,0,10000.0
21,2021-12-22,10188.64,0,0,10000.0
22,2021-12-23,9858.52,0,0,10000.0
23,2021-12-24,9764.2,0,0,10000.0
24,2021-12-27,9905.68,0,0,10000.0
25,2021-12-28,10094.32,0,0,10000.0
26,2021-12-29,10282.96,0,0,10000.0
27,2021-12-30,10754.56,0,0,10000.0
28,2021-12-31,10848.88,0,0,10000.0
29,2022-01-04,10660.24,0,0,10000.0
30,2022-01-05,10943.2,0,0,10000.0
31,2022-01-06,10990.36,0,0,10000.0
32,2022-01-07,10943.2,0,0,10000.0
33,2022-01-10,10801.72,0,0,10000.0
34,2022-01-11,10990.36,0,0,10000.0
35,2022-01-12,10848.88,0,0,10000.0
36,2022-01-13,10613.08,0,0,10000.0
37,2022-01-14,10848.88,0,0,10000.0
38,2022-01-17,10896.04,0,0,10000.0
39,2022-01-18,10801.72,0,0,10000.0
40,2022-01-19,10518.76,0,0,10000.0
41,2022-01-20,10330.12,0,0,10000.0
42,2022-01-21,10565.92,0,0,10000.0
43,2022-01-24,10188.64,0,0,10000.0
44,2022-01-25,10094.32,0,0,10000.0
45,2022-01-26,9717.04,0,0,10000.0
46,2022-01-27,10330.12,0,0,10000.0
47,2022-01-28,10377.28,0,0,10000.0
48,2022-02-07,10235.8,0,0,10000.0
49,2022-02-08,9622.72,0,0,10000.0
50,2022-02-09,9009.64,0,0,10000.0
51,2022-02-10,9009.64,1,1,10000.0
52,2022-02-11,9009.64,0,0,10000.0
53,2022-02-14,8773.84,0,0,9790.6
54,2022-02-15,8773.84,0,0,9790.6
55,2022-02-16,8962.48,1,1,9958.12
56,2022-02-17,8915.32,0,0,9907.82
57,2022-02-18,8868.16,0,0,9857.52
58,2022-02-21,9056.8,0,0,10058.72
59,2022-02-22,8915.32,0,0,9907.82
60,2022-02-23,9339.76,0,0,10360.52
